,index,ISO_language,textfile,Frequency,file,Perimetric_complexity,ISO_script,LengthScript,Idiosyncratic,Type,Family,Ancestor,Sum_count,Relative_frequency,Sum_prob,Source,Unicode,PCComplexity,Compression
0,03131,kor,ㄱ,200098.0,,29.604516702556054,Jamo,51,0,featural system,East Asian,,3086590.0,0.0648281760778075,,bible.com,03131,29.604516702556054,845
1,03132,kor,ㄲ,12607.0,,35.676317667935976,Jamo,51,0,featural system,East Asian,,3086590.0,0.0040844427021405,,bible.com,03132,35.67631766793598,845
2,03133,kor,ㄳ,37.0,,34.61518555100185,Jamo,51,0,featural system,East Asian,,3086590.0,1.1987338778392984e-05,,bible.com,03133,34.61518555100185,1001
3,03134,kor,ㄴ,231591.0,,29.128980480547757,Jamo,51,0,featural system,East Asian,,3086590.0,0.0750313452709948,,bible.com,03134,29.128980480547757,843
4,03135,kor,ㄵ,422.0,,43.7604269227099,Jamo,51,0,featural system,East Asian,,3086590.0,0.0001367204584995,,bible.com,03135,43.7604269227099,1068
5,03136,kor,ㄶ,1700.0,,54.63425065600534,Jamo,51,0,featural system,East Asian,,3086590.0,0.0005507696195477,,bible.com,03136,54.63425065600534,1154
6,03137,kor,ㄷ,95935.0,,46.81548632424644,Jamo,51,0,featural system,East Asian,,3086590.0,0.0310812255595981,,bible.com,03137,46.81548632424644,952
7,03138,kor,ㄸ,11643.0,,47.52206809577113,Jamo,51,0,featural system,East Asian,,3086590.0,0.003772123929644,,bible.com,03138,47.52206809577113,1116
8,03139,kor,ㄹ,255973.0,,63.59618211952999,Jamo,51,0,featural system,East Asian,,3086590.0,0.0829306775438266,,bible.com,03139,63.59618211952999,910
9,0313A,kor,ㄺ,514.0,,48.29354487121664,Jamo,51,0,featural system,East Asian,,3086590.0,0.0001665268143809,,bible.com,0313A,48.29354487121664,1000
10,0313B,kor,ㄻ,351.0,,60.6301285755036,Jamo,51,0,featural system,East Asian,,3086590.0,0.0001137177273301,,bible.com,0313B,60.6301285755036,1129
11,0313C,kor,ㄼ,230.0,,61.3428938876806,Jamo,51,0,featural system,East Asian,,3086590.0,7.451588970352395e-05,,bible.com,0313C,61.34289388768059,1130
12,0313D,kor,ㄽ,3.0,,46.26709171357196,Jamo,51,0,featural system,East Asian,,3086590.0,9.719463874372689e-07,,bible.com,0313D,46.26709171357196,1128
13,0313E,kor,ㄾ,12.0,,58.41037784714921,Jamo,51,0,featural system,East Asian,,3086590.0,3.887785549749076e-06,,bible.com,0313E,58.41037784714921,1089
14,0313F,kor,ㄿ,2.0,,58.03234877492204,Jamo,51,0,featural system,East Asian,,3086590.0,6.479642582915127e-07,,bible.com,0313F,58.03234877492204,1210
15,03140,kor,ㅀ,344.0,,63.30053255752479,Jamo,51,0,featural system,East Asian,,3086590.0,0.0001114498524261,,bible.com,03140,63.300532557524775,1317
16,03141,kor,ㅁ,103004.0,,54.314124549095794,Jamo,51,0,featural system,East Asian,,3086590.0,0.0333714552305294,,bible.com,03141,54.3141245490958,980
17,03142,kor,ㅂ,53973.0,,55.53985032143032,Jamo,51,0,featural system,East Asian,,3086590.0,0.0174862874563839,,bible.com,03142,55.53985032143031,911
18,03143,kor,ㅃ,1908.0,,63.55864722406585,Jamo,51,0,featural system,East Asian,,3086590.0,0.0006181579024101,,bible.com,03143,63.55864722406585,1058
19,03144,kor,ㅄ,2281.0,,48.50963108903516,Jamo,51,0,featural system,East Asian,,3086590.0,0.0007390032365814,,bible.com,03144,48.50963108903516,1159
20,03145,kor,ㅅ,126517.0,,28.047322846064844,Jamo,51,0,featural system,East Asian,,3086590.0,0.0409892470331336,,bible.com,03145,28.047322846064844,1115
21,03146,kor,ㅆ,22602.0,,43.38269114161915,Jamo,51,0,featural system,East Asian,,3086590.0,0.0073226440829523,,bible.com,03146,43.38269114161915,1286
22,03147,kor,ㅇ,404228.0,,46.735239704212646,Jamo,51,0,featural system,East Asian,,3086590.0,0.1309626481003308,,bible.com,03147,46.73523970421265,1176
23,03148,kor,ㅈ,85699.0,,45.497737672252754,Jamo,51,0,featural system,East Asian,,3086590.0,0.0277649444856621,,bible.com,03148,45.497737672252754,1202
24,03149,kor,ㅉ,2493.0,,51.65170994310347,Jamo,51,0,featural system,East Asian,,3086590.0,0.0008076874479603,,bible.com,03149,51.65170994310347,1295
25,0314A,kor,ㅊ,15601.0,,52.01611348982573,Jamo,51,0,featural system,East Asian,,3086590.0,0.0050544451968029,,bible.com,0314A,52.01611348982573,1078
26,0314B,kor,ㅋ,4531.0,,49.244932423759344,Jamo,51,0,featural system,East Asian,,3086590.0,0.0014679630271594,,bible.com,0314B,49.24493242375934,852
27,0314C,kor,ㅌ,9032.0,,65.22289042714026,Jamo,51,0,featural system,East Asian,,3086590.0,0.0029262065904444,,bible.com,0314C,65.22289042714026,1011
28,0314D,kor,ㅍ,11336.0,,52.47417890485641,Jamo,51,0,featural system,East Asian,,3086590.0,0.0036726614159962,,bible.com,0314D,52.47417890485641,913
29,0314E,kor,ㅎ,110685.0,,64.95688464094,Jamo,51,0,featural system,East Asian,,3086590.0,0.035859961964498,,bible.com,0314E,64.95688464094,1142
30,0314F,kor,ㅏ,319632.0,,35.48044672944912,Jamo,51,0,featural system,East Asian,,3086590.0,0.1035550559031163,,bible.com,0314F,35.48044672944912,789
31,03150,kor,ㅐ,41947.0,,60.49206340874172,Jamo,51,0,featural system,East Asian,,3086590.0,0.013590078371277,,bible.com,03150,60.49206340874173,830
32,03151,kor,ㅑ,8960.0,,42.0114928366537,Jamo,51,0,featural system,East Asian,,3086590.0,0.0029028798771459,,bible.com,03151,42.0114928366537,833
33,03152,kor,ㅒ,6.0,,65.57969335118567,Jamo,51,0,featural system,East Asian,,3086590.0,1.9438927748745378e-06,,bible.com,03152,65.57969335118567,911
34,03153,kor,ㅓ,106362.0,,35.511544664038965,Jamo,51,0,featural system,East Asian,,3086590.0,0.0344593872202009,,bible.com,03153,35.51154466403896,787
35,03154,kor,ㅔ,91551.0,,61.707414895346616,Jamo,51,0,featural system,East Asian,,3086590.0,0.0296608879054231,,bible.com,03154,61.70741489534662,814
36,03155,kor,ㅕ,62946.0,,42.06455794263945,Jamo,51,0,featural system,East Asian,,3086590.0,0.0203933791012087,,bible.com,03155,42.064557942639446,826
37,03156,kor,ㅖ,6093.0,,65.43764465059728,Jamo,51,0,featural system,East Asian,,3086590.0,0.001974023112885,,bible.com,03156,65.43764465059728,848
38,03157,kor,ㅗ,122167.0,,32.96521696528433,Jamo,51,0,featural system,East Asian,,3086590.0,0.0395799247713496,,bible.com,03157,32.965216965284334,788
39,03158,kor,ㅘ,32715.0,,59.98993566112127,Jamo,51,0,featural system,East Asian,,3086590.0,0.0105990753550034,,bible.com,03158,59.98993566112127,974
40,03159,kor,ㅙ,85.0,,84.69709646710261,Jamo,51,0,featural system,East Asian,,3086590.0,2.7538480977389288e-05,,bible.com,03159,84.69709646710261,952
41,0315A,kor,ㅚ,13246.0,,59.44631914735293,Jamo,51,0,featural system,East Asian,,3086590.0,0.0042914672826646,,bible.com,0315A,59.44631914735294,919
42,0315B,kor,ㅛ,6845.0,,43.65563312489761,Jamo,51,0,featural system,East Asian,,3086590.0,0.0022176576740027,,bible.com,0315B,43.655633124897605,828
43,0315C,kor,ㅜ,63338.0,,32.978001251760375,Jamo,51,0,featural system,East Asian,,3086590.0,0.0205203800958339,,bible.com,0315C,32.97800125176037,793
44,0315D,kor,ㅝ,4516.0,,61.09127855859951,Jamo,51,0,featural system,East Asian,,3086590.0,0.0014631032952222,,bible.com,0315D,61.09127855859951,1041
45,0315E,kor,ㅞ,560.0,,83.41845721124669,Jamo,51,0,featural system,East Asian,,3086590.0,0.0001814299923216,,bible.com,0315E,83.41845721124668,1060
46,0315F,kor,ㅟ,7542.0,,54.4885359446976,Jamo,51,0,featural system,East Asian,,3086590.0,0.0024434732180172,,bible.com,0315F,54.4885359446976,1005
47,03160,kor,ㅠ,4341.0,,43.78830765680435,Jamo,51,0,featural system,East Asian,,3086590.0,0.0014064064226217,,bible.com,03160,43.78830765680435,907
48,03161,kor,ㅡ,185605.0,,22.54054755546891,Jamo,51,0,featural system,East Asian,,3086590.0,0.0601327030800981,,bible.com,03161,22.540547555468905,735
49,03162,kor,ㅢ,34535.0,,47.81603613607861,Jamo,51,0,featural system,East Asian,,3086590.0,0.0111887228300486,,bible.com,03162,47.81603613607861,982
50,03163,kor,ㅣ,208246.0,,28.96986641994669,Jamo,51,0,featural system,East Asian,,3086590.0,0.0674679824660871,,bible.com,03163,28.96986641994669,734
0,00390,ell,ΐ,196.0,7.0,25.769891960694103,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.0001117250287435,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",00390,,1072
1,003AC,ell,ά,32076.0,7.0,54.5976656754479,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.018284142969275,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003AC,,1472
2,003AD,ell,έ,30697.0,7.0,41.3600421612414,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.0174980775884722,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003AD,,1203
3,003AE,ell,ή,15128.0,7.0,51.3885885736318,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.0086233481368996,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003AE,,1132
4,003AF,ell,ί,35771.0,7.0,24.3329687846215,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.0203903877713535,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003AF,,1047
5,003B0,ell,ΰ,1.0,1.0,42.9490105324045,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,5.70025656854815e-07,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003B0,,1228
6,003B1,ell,α,189222.0,8.0,48.719588093312105,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.1078613948413818,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003B1,,1428
7,003B2,ell,β,13558.0,8.0,69.5031218127738,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.0077284078556375,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003B2,,1364
8,003B3,ell,γ,29651.0,8.0,38.3889029008081,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.0169018307514021,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003B3,,1201
9,003B4,ell,δ,30504.0,8.0,52.9240517869106,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.0173880626366992,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003B4,,1381
10,003B5,ell,ε,135751.0,8.0,35.5625245961601,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.077381552943698,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003B5,,1136
11,003B6,ell,ζ,5964.0,8.0,44.2813130202662,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.0033996330174821,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003B6,,1298
12,003B7,ell,η,44314.0,8.0,45.5505428825906,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.0252601169578642,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003B7,,1086
13,003B8,ell,θ,28165.0,8.0,60.058568667777,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.0160547726253158,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003B8,,1304
14,003B9,ell,ι,114655.0,8.0,18.3452210299259,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.0653562916866888,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003B9,,950
15,003BA,ell,κ,71163.0,8.0,49.0103978348065,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.0405647358187592,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003BA,,1182
16,003BB,ell,λ,47237.0,8.0,36.88182002782671,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.0269263019528509,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003BB,,1299
17,003BC,ell,μ,48515.0,8.0,50.605657689568005,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.0276547947423113,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003BC,,1138
18,003BD,ell,ν,127432.0,8.0,31.515409746377895,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.0726395095043227,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003BD,,1150
19,003BE,ell,ξ,6307.0,8.0,51.7517848517828,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.0035951518177833,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003BE,,1379
20,003BF,ell,ο,151329.0,8.0,37.0931939205354,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.0862614126261823,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003BF,,1148
21,003C0,ell,π,65556.0,8.0,43.8162919725421,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.0373686019607742,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003C0,,1181
22,003C1,ell,ρ,62412.0,8.0,47.2398284683312,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.0355764412956227,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003C1,,1132
23,003C2,ell,ς,65480.0,8.0,35.8416134155205,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.0373252800108532,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003C2,,1176
24,003C3,ell,σ,75279.0,8.0,40.3461431309875,Grek,84,0,alphabet,Phoenician,Phnx,1754307.0,0.0429109614223736,1.0000000000000002,"Bentz & Ferrer-i-Cancho, 2016",003C3,,1141
